,Content,Polarity
1214,hech remolonper lleg suen bienviern diciembrehoy ultim program #losdesayunosdetv,0
1216,eeuu invad iraq busc inexistent armas destruccion masiv ahor sab arma destruccion ejercit eeuu,1
1217,larg sueñ ciud {link},0
1218,igul #ff rt javiercreant quer malageñ felic fiest soastec blocdeesboz jakarrion mariviromer,0
1219,regal sonris merezc amor valor vid ame feliz navid - {link},0
1221,rajoy fia cre bildu institu si exist eta {link} via europapress_,1
1222,val val #ff followercet,0
1223,¡feliz navid angel davfernandez sanchez_soni mtascon virginiapalons sintxaurrond,0
1224,mil #ff rt fernandomoral #ff unic exclus intransfer sanchez_soni much cos #hedich,0
1226,graci - rt evencontacon #ff gemmadelcorral mariviromer graci abraz ayer senti cariñ graci,0
1228,consej gob proyect decret ayud incentiv comercializac product servici ext traves sociedad comercializ,0
1229,comienz presion activ antiabort manifiest puert monclo dia prim consej marianorajoy sorayapp,1
1230,carmechaparr much graci sol,0
1231,ahor mas admit modul repag progres med injust reaccionari admit modul,1
1239,iberoci “vanemzamor clar extremeñ cop davislastim qestoy badajoz si nom acerc tocarla”,0
1240,hoy cartay person mayor merec compromis cariñ respet,0
1241,nombramient esper quequ pendient daran proxim consej,0
1243,raban jajajaj pris trabaj,0
1245,dad aversion rued prens rajoy santam va ten gran presenci fij posicion gobiern,1
1246,ruleconchaclchac esquem sab quien dond #psoeentr manifiestocart respuestay heperd,1
1247,oooooops sorry garcia-legaz secretari comerci turism,1
1248,algun famili necesit jueguet universomartin regal,0
1250,paz amor esper mujer hombr telemadr,0
1251,elmund acab lanz nuev tiend ebooks elmund {link},0
1252,veo abre link notici ayto bcn vuelv {link},1
1253,yesmedi berto_romer buenafuent ana_morgad josecorbach regal padr entrad terrat pack hacedl bien eh”,0
1254,impag segundo- rt euclentej tonicant ver lleg polit upy d hac gi {link},0
1258,mayor bien cuant pong je je je simbolill mod iron on pierd,0
1259,“maropopinsjajaj cre peor vi {link} incun,1
1260,tras años magnif informativost esper pas tan buen la_s graci ex compañer salud nuev,0
1261,salomeg sguein ide sensat,0
1262,cas chimene pap noel entra microond facil,1
1263,opin inma castill cortaz numerit bildu etb telediarioint,1
1264,generalitat dic diner pag funcionari telediarioint cont diner,1
1265,echar men sanchez_soni sid ejempl informativost chic d la_s tratadl merec suert,0
1266,{link} aqu videocapitul alzir bes,0
1267,sostien sig neg rubalc chacon tras manifiest precipit apuest rubalc da pas mart,1
1268,aqui lya_cordob prepar nuev disc,0
1270,prim mart - pic — {link},0
1271,prens seri - rt elperiodico_c boligraf trag muj hac años aun escrib {link},0
1272,si tod felic dese dias convirt trabaj tod dignid viv hogar,0
1273,rt yaisagordill aarbelo sig esper twitt chori,1
1274,sony invent bat funcion papel tritur {link} via elmund,0
1275,cni pas vicepresident evolu servici inteligent {link},0
1276,igual - rt ccifuent mariviromer antsaez bes enorm #felicesfiest -,0
1277,nostalgi drog impid ver cos tal the walking dead,1
1278,nostalgi drog impid ver cos tal the walking dead,1
1279,asi rt loladulop mariviromer elmund pasit iguald discapac,0
1280,cociner dic met pas piñon error asunt sequ #elpavoesmuysecorr,1
1282,cerd adel mañan pav ventaj muert,0
1283,va acab fatal gent cre cen,1
1284,maravill nuev medi expresion twitt disfrut moment absurd esencial frivol real #twittern,0
1285,rt charodon sevillajordi injust q parid habl muj prepar q hombr supong siempr prepar,1
1286,color tod ideolog tod raz religion feliz {link},0
1287,hech rt ifilosofi quier hac regal navid msf_espan medic fronter ¡alcanz followers ayud,0
1289,bsarasol muchisim graci borj bes enorm #felicesfiest -,0
1290,mejor form garantiz segur trop exterior envi nadi llam retir afganistan,1
1291,pon nervios part benef tra espiniller cas,1
1294,famili desahuci viviend prim semestr mayor emple pud pag l hipotec justici,1
1296,hac #twitteroff dese pas feliz nochebuen estupend navid felic com perdic -,0
1297,part recaud fond afect fibrosis quistic retransmit sep,0
1298,aqu primer felicit victor diseñ elabor mism ipad man - {link},0
1300,feliz navid amig pajarit {link},0
1301,feliz navid graci encontr aqu se siempr acert pued asegur siempr intent nunc escond,0
1302,sanchez_soni felic nuev trabaj feliz,0
1303,recuerd especial noch pas separ cuid segur bienest graci,0
1304,felic fiest pap noel traig much cos rey esper bes abraz,0
1307,encant cuentame“pedrodc des ver car famili vean regal navidadepn pedroj_ramirez”,0
1311,feliz noch feliz navid,0
1312,pabloaiglesi qued mism finfeliz navid,0
1315,ceped feliz navid,0
1316,igual - rt moliyflop mariviromer feliz navid marivi #muchassonrisaslind,0
1317,herman carmenromerop angel anoch - {link},0
1318,b dias import discurs rey ejemplar etic iguald ley {link},0
1320,feliz navid hoy pase famili anoch genial ris villanc regal acab despert #notedigonaytelodigot,0
1321,fuert rt europapress_ atent iglesi nigerian mis navid dej muert - {link},1
1322,amig escrib felicitar navidadfeliz navid,0
1323,{link} pequeñ detall nuev experiencias/ its all cont {link},0
1327,puñ antiabort emplaz gobiern rajoy monclo enseñ resist exig llor mam,1
1328,dej inimit jam brown movimient fija trompet espald sex {link},0
1329,gust vea,1
1330,comet error individual colect sid saque recurs priv public enriquec,1
1331,fech tan señal apunt ded sig feo #moumoumou,1
1332,mejor pas navid famili amig uds pas,0
1333,“sandrasevillan david_bust estari bien unas buen noch hoy necesito adoro cieloo”buen noch,0
1334,“tonicost david_bust daviiii feliz navid amig fuert abrazooooo”igualmente-,0
1336,buen noch famili dese siempr mejory siempr dar graci regal tener lad quier,0
1337,rt karlabenitez paurubi hoooomg sant traj snifsnif’ portart mal ho ho ho,1
1338,buen noch followercetesmañan aprox link apunt #merendolatuiter qued friki pretension,0
1341,#zp sal ten ningun sentimient negat haci nadi haci {link},0
1342,rt mnd sig hac rt si pued don tan facil cuant click opcion {link} ayud #cu,0
1343,gilipoll dic xq antigu inquilin imbecil,1
1344,resac navideñ mas azuc postr dias analisis nuev gobiern atracon,1
1345,apple trabaj bat telefon movil inteligent dur seman {link},0
1346,cont accident n-v mostol dir madr medi hor km qued feliz navid,1
1347,luis guind confirm españ volv entrar recesion prefier verd dur mient #brotesverd,1
1348,meriend simbol atracon ver car echar unas ris esper,0
1349,qued entrad sient sabi interes qued chorr,1
1351,nuev deleg gobiern andaluc prioriz guadalquiv emple {link},0
1352,pp pso destac rey altur {link} via elmund,0
1353,juez denunci hacin centr 'sin papeles' {link},1
1354,+ esencial jazz {link} via el_pais,0
1355,usan tir basur {link},1
1356,primer llamat caid produccion eolic {link},1
1358,mil zapat nuev {link},0
1359,cibermund social {link},0
1361,pued fum com carn pued tir cohet pued beb cuent hac ruid tuit loco#navidadeslight,1
1362,intent disfrut marg,0
1363,foment reduc cuart part inversion realiz cenicient nuev gobiern,1
1365,rt “mtserranosaiz palabr q hag justici pasion d ricard lizarrag x trabaj x gent carlos__alsin mmary,0
1366,empez nuev ministr econom llam crecimient negat recesion #transparenciapp,1
1369,regal pap noel ls quier ls pong youtub leo masliah cont {link},0
1370,niñ niñ ahor si pod mir hac cas indic tio santiag je je je {link},0
1371,busqu nadi respet cultur pais lider descarg ilegales cont {link},1
1372,buen dias,0
1373,recort m d eur deficit d gobiern central dij rajoy compat m conjunt d administr,1
1374,tild violenci machist violenci ambit famili recesion desaceler llam pan pan vin vin,1
1375,saludosss “albertoln salud jamonag persigu hac fot ifeb feri infanci,0
1378,quien dich ana botell nuev alcaldes madr vot part popul {link} via elmund,0
1380,corrill ministr morenes cañet gallardon montor anim charl banc azul,0
1382,intervien rey reconoc memori digin valent victim #congres,0
1383,termin intervencion rey cerr aplausomas brev nuev espontane viv rey levant pasiones#congres,0
1384,mod q pepegrin entra presid junt andaluci tras march chav calladitosy ahor freir ana botell,1
1386,ciert dij jessic aprovech lean biendij ver aprovech futur,1
1387,lleg alcaldes botell congres recepcion posterior solemn jorn #congres,0
1388,minut aplaus rey cayo_l aplaud jerkorek r diez men agarzon vio fars {link},1
1389,graci r regalit besaz monik {link},0
1390,abiert decim legislatur cort español carg rey llamamient honradez señor trabaj comun,0
1391,conozc ciud san luis maravill gent abrazot herman rt ponxosanchez cont {link},0
1392,dic haceimport europ futur jean-claud trichet project syndicat {link} via prosyn #op,0
1393,missauthonomy acab termin muert acompañ sublim qued cort maravill vay siempr qued cort,0
1396,guind cifr millon ajust aprob viern consej ministr / via elmund,0
1398,angel leon arroz plancton hidromiel puert sant mari com igual #sibarisforev {link},0
1400,orgull form part dl equip dl año revist tan prestigi l'equip graci q vot,0
1401,- malag lug prefer britan pas vacacion veran {link} via elmund,0
1402,hoy termin libr joan piqu dues vid buen recom x felicitats joan,0
1404,guind cifr millon eur ajust gobiern present viern telediarioint,0
1405,ristomejid envidi rist sol recib muestr cariñ feliz año nuev sab voy siempr vanguardi,0
1406,currin amenaz rajoy echarl opinion public encim si continu proces paz telediarioint,1
1409,sub preci aliment acorral pobr pakistan {link},1
1410,diput redescubr mural pintor francisc hernandez llev años ocult {link},0
1411,si si sab jug patos verd rt macasanzlucer cont {link},0
1412,graci apoy gal premi ver tan ilusion nuev album #mi premi mas grande-,0
1415,año unid concordi {link},0
1416,“leticia_iov david_bust cumpli años aun tiemp si quier felicit jej besazo”felicidades-,0
1417,“albiitabr david_bust si marc gol piens celebrarlo”con mortal atras supuest,0
1418,mezcl inocent adelant anunci aqu twitt dentr medi hor,0
1420,aprovech crisis justific recort privatiz servici public desregul econom,1
1421,“feer_n marbe_fl eldiscotv david_bust mexic tambi apoy encant mio”graci,0
1422,much felic pabloalbor,0
1423,buen dias inocent asi amanec madr {link},0
1424,rt virginialunab hoy dig buen dias pued marchen nuev victim violenci gener machism mat,1
1426,feliz dia inocent pic pel sig igual jaaaaaa,0
1427,person mas gust habl ayer congres gran gistau cont xq anda aqu,0
1428,¡notici descombac dispon {link} histori dia atorrem,0
1429,inaugur yacim arqueolog huert monter almendralej leg dl calcolit q lleg nuestrs dias,0
1433,verd suen coñ hac public cuent cas real dia inocent,1
1434,feliz dia inocent {link},0
1436,seri buen ide dir iker rt chary_esent subastareis camiset alejandrosanz cont {link},0
1437,diciembr grad malag delici viv aqu -,0
1438,recopil libr gratis comun marketing social medi {link} via nuemprendedor sergiojvaler,0
1439,dentist carl clinic font d'en farg dej boc bien {link},0
1440,camin madr nervi jueg fataaaaaaaallll iker #¥&gt“%,1
1441,ahi t va cuatach rt dannielfk heeey alejandrosanz dam rt admir salud #tabascomex,0
1442,cuent bancari apertur dic portavoz policial radi #horror,1
1443,dioooo santiag segur va equip cre ahor si pued confirm serâ desastr,1
1444,critic recomend “teresaj buenafuent sab hac critic espectacul encant conch velasco”,0
1445,congel salari minim miseri auster ensañ debil favor fuert ley embud,1
1447,aren cinic junt aplaud años zp dias critiqu rajoy {link} via elmund,1
1449,congres mand advertent fotograf e-mail si sac fot indeb retir acredit año maxim,1
1450,mañan milit plasenci mediod tard albuer olivenz ayer coron reunion entrañ,0
1451,fin confirm merendill d #merendolatuiter heladit gentilez hel favorit tiemp hag dazs,0
1452,telediarioint direct manifest prov frent dator,1
1453,esper seahal madr amig catalan abraz,0
1454,greci gobiefn nuev capaz manten compromis {link},1
1455,navidad marquesdvizhoj sid protagon d tod comidascenasvillanc risasbes graci buen rat,0
1456,cuatr ases marc personal onlin {link},0
1459,rt cosechadel trailers vist año par minut triunf {link},0
1460,alucin color fap dic public fot movil rubal etic reprob quien sirv period,1
1461,gran guajevill aqu bienven twitt abraz,0
1462,tom decision public fot mil vec har etic libert licit relev hic bien,0
1463,vuelv aplaud fot cuellarr rubalc congres inform,0
1464,jajajj rt albertopereir ahi teneis car iker poem parec pel rocky balba dic {link},1
1465,dond mandado“pilarmonter ls mail xk ls respnd cntrat algui aunk seaguillermov ibarr + accesibles”,1
1466,salud aunq tiemp “goyi_ estupend pod jug deb hac ejercicio”,0
1467,prefier riber guadian -“boalkay hac proyect cop oport man histori ”,0
1468,#chacon defiend primari pso abran simpatiz {link},0
1470,rt mnd hambr contagi nadi preocup cur jos esquin m {link} preocup,1
1472,aparent recib d regal #yo fiestasq bien q esten disfrutandox ustds sig ls list d popular graci,0
1473,inform chapuz em demuestr letr cort clam ciel fap,1
1474,buen dias despert problem segu ahi resac,1
1475,#fb ministr interior anunci ondacero_ volv exist direccion gneral polic direccion genral g civil,0
1476,rt ondacero_ “anotici interior suprim mand comun polic guardi civil {link},1
1477,ahi imput iñaki urdangarin negoci institut noos {link} via elmund,1
1479,volcan #elhierr vuelv emit material fin humeant {link} via ins geograf nacional,1
1480,si si pensadl asi puest salt correctory dad cuent perdon,1
1481,meneam si quier modesti ministr morenes {link},1
1482,enhorabuen carl “carlosjg lio pedroj_ramirez abon orbyt € año”,0
1483,hoy present candidatur sg pso alfred perez rubalc hoy explic el_pais razon apoy {link},0
1486,urdangarin ppopul absolut respet tod resolu judiciales” pso “profund respet decision juez”,0
1487,aja “julenariz mal sintom especial newt gingrich pod consegu firm mism vive”,1
1489,hoy encuentr prim - mamm mia {link},0
1490,lorenzod “moisestv mand pequeñ regal ls emocion music padrin {link},0
1491,unamun facil militariz civil q civiliz milit qiz millan astray q dij venc convenc,1
1493,si si cos palentin telefon escrib palabr sol vec neg hahahahahah,1
1495,rubalc present candidat avis «nunc abandon reto» - abces {link} via abc_es,0
1496,#rubalc consegu unid tods ls social cambi resum proyect,0
1497,rt suanz fin version promet sevillajordi explic blog famos fras dos tard {link},0
1498,rubalc dad clav problem pso ser ser nacional cos apropi,1
1499,lentill reclam extraccion au rev,1
1500,mañan m mejor gadgets año tablet smartphon tel cam si pierd aqu {link},0
1502,much graci felicit tan liad pod contest personal agradezc muchisim,0
1503,¡lo mejor timelin dispon {link} histori dia jmatenci resetreboot armakdeodelot,0
1504,estherpalomer _rubalc pues parec entreten manusanchezg,0
1505,marodriguezb acuerd acuerd ver si algun escuch,0
1506,consejer galleg salud mañan numer ministeri sanid alli dej tarjet sanitari par aqu,1
1507,gran aciert d jorgefdezpp nombramient d ignac nuev director gral polic puest central democraci,0
1510,david_bust puntopelot jpedrerol matallan coñ ido señalvay invent tdt,1
1511,list padr “inmarbi pedroj_ramirez padr regal suscripcion orbyt #christmasfacts”,0
1512,si codueñ pso pued aprob cuent vot consejer deleg algui fall deb cambi,1
1513,feliz viern ultim ole ole ole,0
1514,buen acto present _rubalcaba_ hac equip constru discurs necesari españ realist sol social,0
1515,germanyank palomabrav moterasecret alejandramarpor graci germ bes chic feliz,0
1516,much graci “viul_ablog libr pedroj_ enganch primer pagin recomend regal navidades”,0
1517,#ff mai_madr sac lios met,0
1518,ultim #ff año followers graci x ahi graci x tweets graci x cariñ ¡feliz famili,0
1519,encant ir bilba encontr dic hij german niet fundador afhletic,0
1520,rebaj retribu retras pag pon peligr turn ofici comun valencian {link},1
1521,comparec tras cjo ministr vicepresident ministr econom haciend emple cuatr lleg recort #cmin,1
1522,chavez “nodeizquierd convenc tuits hac pelot orbyt cre pedroj_ algun aplic secret je”,1
1523,proteg debil pension sub % prorrog eur par recort sueld funcionari,1
1524,desviacion deficit sustancial superior dic vicepresident % gob #zp calcul % #cmin,1
1525,ruin,1
1526,dij iba hab sorpres pod cont gobiern anunci med hall deficit % {link},1
1527,esfuerz esfuerz pag irpf,1
1528,sub siet punt irpf,1
1529,gobiern previs cumpl clasic herenci peor tem yno qued remedi sub impuest,1
1530,#impuest #ibi sub % viviend mayor valor catastral cad municipi #cmin,1
1534,dec pp sub impuest gener par par priorid,1
1535,laspsus fatim bañez acab baj salari minim interprofesional dich eur ahor rectif,1
1537,razon patronalsindicat part rebaj cuantiosisim subvencion tan sol %la socied va toler,1
1539,pp calcul deficit asi n escud imprevist ment,1
1542,encant camil gran escritor graci cariñ pur otriginal si si cont {link},0
1543,retuit “estrella_cm chic #orbyt acab darm alta aprovech ofert mañan dejeis pas,0
1544,numer sal % € haciend dic calcul siguient escal tampoc sal,1
1545,gobiern dic pued aisl recort avecin gust esper ver dibuj definit,1
1546,sol recort % sindicat patronal part telediarioint,1
1547,entend toqu bolsill si dentr plan salg barat eficaz cambi,1
1548,esper aguirr marz llam rebelion sub iva cer patater zapater dir ahor rajoy hoy doy,1
1550,entran funcion farol eolic fotovolt proyect smartcity {link},0
1551,rt “sguein apoy peticion q “sanchez_soni rajoy condecor gran cruz carl iii coll isabel catolica”,0
1552,claroclar sobretod ahor program admiradorrt rg_ buenafuent admir dig vend,1
1553,algui pens q iba toc pag desaguis estos echad cos hech empez #dur,1
1554,funcionari ademas ten congel sueld trabaj dos hor medi practic recort salarial,1
1555,ojal año errad clas terror violenci machist #mensajegriñ,0
1556,sub impuestosrecort palabr elimin diputacionesduplicidadesfund sociedad publicasfusion ayunt,1
1557,xd “cholati pepiñ conced gran cruz real distingu orden español carl iii avemariapurisima”,0
1558,aqu muestr sab % hac mes {link},1
1559,mariviromer quer mariv dese mejor merec bes enorm - #feliz,0
1560,super dolor primer tertuli nuev tempor elcontrapunt abcpuntoradi feliz,0
1561,sorprendent menam decid ultim articul duplic cerr {link},1
1562,dese mejor mejor tb merec ccifuent graci tan cerc #feliz,0
1564,#ff #feliz pabloalbor sid año #malag,0
1565,much graci hech aqu #ff especial siempr esper period,0
1566,primer nomin rajoy sub impuest recort gast acus fiscal {link},1
1567,#feliz patriestevez siempr dand cariñ preci,0
1568,españ merec mentir gobiern dich verd tom med valient sac situacion,0
1569,graci jos mar “tintoclaret pedroj_ramirez suscrit cre period investig quier sig asi”,0
1570,geranium “sadat_upyd pedroj_ramirez gins favoritoshoy seri buen noch {link},0
1571,esper baby “babym feliz año pedr j conocert sid tan emocion q invit firm pn ire”,0
1572,rajoy rectif hor ataqu direct estatut andaluc adivin sust javi aren {link},1
1573,geranium fev “jr_segur gin favorit refier ginebr tip tonic mañan quier sorprend fin año”,0
1574,#feliz - paquivicent eduardvw eliasbendod oblad manolo_b juanma_moren ppandaluz javierarenas_pp antoniosanz,0
1576,hemerotecas/videotecas/fonotec persegu pied defend baj impuest gan profusion razon,1
1577,aprend vsotr pp siet años eh ahor prob propi medicinaqu ric iescol,1
1578,buen diiiiiii amanec taxi {link},0
1579,eso“sindy_r ccifuent gobiern condecor zp parec humill deb sent banquill hund españa”,1
1580,españ muev mill€ billet mayor negr pag impuest,1
1581,graci rt solyoci mariviromer ¡¡g r c i s compart sueñ ilusion tant sonris ¡¡ feliz año,0
1582,“mikelayest anapastor_tv alto mand irani nieg lanzamient d misil hoy segun rt_com entonc imagen d archivo”,1
1583,buen dias esper noch merezc pen,0
1584,hemerotec videotec tem impuest pp moj ahor vuelv {link},1
1585,izquierd deb super resign renunci dogm sect capill irreconcili,1
1587,gobiern reconoc q regres fiscal felip segun cuent fuent ejecut q bien,1
1588,ahor result culp dramat situacion econom recort marianorajoy flac memori #herenciapso,1
1589,“theicedeyedgirl dese feliz mand abraz besos” igual mejor lleg bes,0
1592,#rajoynaz men consum produccion activ par riesg millon par registr epa poc mes,1
1593,salud paz {link},0
1594,rey juan carl llam president aleman ped cabez merkel #diferencialconalemani {link},1
1595,q cambi quien gobiern quien oposicion cambi maner d hac polit confront mas mal,1
1596,“rubiantoni insistent recompens € q dej orbyt q inform ruin q tra happyny”,1
1597,ves ana olvid “anariverobernal pedroj_ramirez esse quasi nan gigantium humeris insidentes”,0
1598,pais definit vuelv melancol,1
1599,d q lie cen niños dese mejor añosgraci segu aquiesper escrib leer,0
1600,fgare abrazoooo,0
1601,aqu termin san silvestr feliz año nuev {link},0
1602,lun dig “valdiviels compr suscripcion bien sab cuant nuev orbyt adict consegu promo”,0
1604,moned union desventur {link} via el_pais,1
1605,rt “sguein maj fin año sig asi dias restantesfeliz,0
1606,ganador {link},0
1607,elenavalencian mariviromer blogsdepolit albert_river ceped tonicant joseantoniojun luissalv #feliz -,0
1608,man abuel conviert viej complement cocin adorn navideñ nocheviej feliz {link},0
1609,acab eleg fot port em mañan ocup person relacion especial quien,0
1610,noch gazpach alvall simplement proced,1
1611,feliz año cambi andaluzesper veng carg mejor much salud trabaj amist nuev año,0
1612,igual oscar - rt oscards ¡feliz nocheviej mejor tods,0
1613,fin año sunderland hotel mcfc brindis qued dia buen dese van ahor ¡feliz,0
1614,albagarcii hij put mal canc graci pues sagitari ideal emergent primer neces,1
1615,altur soñ posibl pes sig pens imposiblefeliz año,0
1616,feliz año dese mejor,0
1617,arbol agath maravill “beatrizdguez esubir encant fot -- {link},0
1618,graci twitt conoc gent maravill form sid impos va #twitterfriends,0
1619,encant empez año amig graci,0
1621,igual mas bes rt lulusal mariviromer bell seren año bes,0
1623,pas buen noch disfrut simplement quierojejejejegraci ser,0
1624,dejadm dec vezm sorprend sabi econom q plagi analisis propuest mes despues d critic ignor,1
1625,feliz dia manol tl -,0
1627,demand energ electr cierr año caid indic clar d recesion sient,1
1629,si buen polc “laceld fgare sguein strauss kahn”,0
1630,recuper feliz año sig fiest darl fuert abraz,0
1631,enlac funcion top ten tuits director “eduardorsanz compart si vist {link},0
1634,gust music miop falt mujer llam atencion sinfon español presenci mujer,1
1635,ayer desped año famili tod gent maravill maner original divertidafeliz año {link},0
1636,alexdelaiglesi recuerd sinatr sient person beb levant mañan van mejor segun pas dia,1
1638,dir si “pituu buenafuent ser año vuelv buenafuent casas”,0
1639,preci libr alt recomend altur anteriorl correccion goz {link},0
1640,descar total #urdangarin negoc contrat dirigent gobiern bal palaci marivent {link},1
1641,haz dig hag pued hac titul val q compar ninis dobl moral suen,1
1642,“fonsi_niet buen hoy tv”,0
1643,rt lavozlibre_f sanz critic cinism psoe- calif rey recort {link},1
1645,clasic pon enferm cuant dos dias vacacion feliz grip nuev,1
1646,recomend cronic polit carlosecu decision pas viern {link},0
1647,ohhhhhhhhhh v “subirats impresion soray lis {link},0
1648,enhorabuen rt mnd cierr € {link} graci acompañ aun ayud #cuernodeafr,0
1649,juandecolmener carlosecu lin escrib carl hac sorprend hac mes habl %,1
1650,buen dias asi amanec madr {link},0
1652,pagin {link} pens sobretod aport milit simpatiz congres pso,0
1653,diariosur sol dos cad diez arquitect viv exclus profesion {link},1
1659,“cultrun twitt cort leñ expon argument q tronc demas dan hachaz muev leñ acab flecha”,1
1661,«ven ministeri interior ten carg sin asum carga» - abces {link} via abc_es,1
1662,ministr haciend cristobal montor anunci gobiern tom mas med urgent deficit seman via rtve,1
1663,parec gran calid hech chin {link},0
1665,congel sueld funcionari sig yend vacacion gratis total top secret telediarioint,1
1666,salg mint compromet cerr % rajoy mint compromet sub impuest telediarioint,1
1667,esper nuev comunicadod eta despues march pres escuch gobiern rajoy respond albert lardies,1
1668,merkel sarkozy cameron coincid año dur telediarioint,1
1669,trastiend pp valencian mir popular valencian clav fabr sirv {link},1
1670,tres ministr rajoy dan tres cifr estim objet deficit % dia guind montor fernandez,1
1671,program ocult comisari merc carta- diktat bce ajuste+recortes+reform laboral+privatiz,1
1672,sig mañan okhay hablarahor voy ver peli dorm q rot buen noch,1
1673,nunc discut idiot gent podr not diferent kant via ifilosofi,1
1674,merc trat cambi caball president aunqu mit rio trat cambi direccion,1
1676,gobiern nobl histori recient {link} via jmviv,0
1677,port 'publico' mart patrimoni bursatil grand fortun crec % {link},0
1678,cre juandecolmener deguindosluis fak asi col,1
1679,julia_oter lueg dig medi comun herramient peligr,1
1680,“ahikad david_bust abuel si queriajajaj pas esk solitario”jajajajaj,0
1682,lio cifr deficit guind monter j fernandez perjud gobiern deb habl cifr deb ser sol,1
1684,“un ajust aprob gobiern va hac econom par mas” rubalc la_s,1
1685,rt _rubalcaba_ “en pso ten agrup feder quier particip traves red,0
1686,reform ley penal anticip ministr justici sin interior corrig deficit haciend,1
1687,hoy primer concentr año victim metr valenci {link},1
1688,problem pso {link},1
1689,#interes rt ebe inici gobiern {link} #opengov #eadmin via carlosguadi,0
1691,gran dia anim,0
1692,“dpoz david_bust igual dig crackabraz feliz año”amig mio ver vem,0
1693,“danimartinezweb david_bust madr cog pel jajaja”jajsjaj cuñ,0
1694,grafic pued hac trabaj justici oyen voc alto dic “no pued trabaj asi”,1
1695,mezcl verd rt sofihamelius alejandr sanz ensen qe music carreter maravill alejandrosanz amo,0
1696,visteis especial atrevì jej rt chicasleyend val pen acost tard vert tel alejandrosanz etern,0
1697,ver mir tim cos rt gisela_sanz alejandrosanz lind cont {link},0
1698,bdi hoy estren mari picaz tve clim extrem vid casi impos {link} amig,0
1700,graci anim,0
1702,pos acuerd fotograf precis cambi si cab norm limit fot #congres {link},0
1703,avanz “jjcarmorenill pued volv naufrag democraci narr hiz revolu frances,1
1704,modus operandi segu consej emple cas ere podr hab adopt consej {link},1
1705,mied acab navid enfrent realid #porfiquenolleguerey,1
1707,apoy compañer #public grandis profesional period bien plural ojal sobrev,0
1708,figur articul stev jobs d cm increibl realvent par d mes eeuucuant vender {link},0
1709,quier regal #elprimernaufragi “xurd pedroj_ramirez tem acapar part rey mag ”,0
1710,merit “pepelasnav pedroj_ramirez xurd iphon jajaja” #elprimernaufragi,0
1711,gust libert plural gust q medi comun pas dificultad abraz profesional #public,1
1712,articul jesusmaran lector public {link} servici honest coherent fuerz anim compañer,0
1713,krugm siempr recomend keyn razon {link} via el_pais,0
1714,comic sal campofri podr hac tres campañ public,0
1715,“jotapecarrion javiersolan realment golp estado” consej europ gust,1
1716,indign sub impuest ment q recort gast public #asin sab deficit % coherent,1
1717,model actual d medi perjud period libert d prens x depend l mayor dl controlsubvencion licenci d ls gobi,1
1718,pso dic bast ser honr sin q parec predic respond ramon pi telediarioint,1
1719,t constitucional decid plen recurs tramit urgenci golp merc constitu español,1
1720,prepar gran sorpres promet encant q ser,0
1721,gracias-,0
1725,jesusmaran quer jesus abraz afect esper suert,0
1726,uff “nachor cad medi comun cerr cerr autonomos”,1
1727,fin lleg flo ssantiagosegur liv on {link},0
1730,mil graci followercet segu twitcam ven sid divert,0
1732,perdon hech fot quer volv hog espartaa,0
1733,jugador madr tidav discotec doming - malag,1
1736,rt elena_de_miguel fuert madr -malag + info {link},1
1737,#vamosmalag rt dudymalag vam malag si val,0
1738,marc realmadr -,1
1742,tristez,1
1743,volv gol victori hic practic contundent ahor prepar clasic,0
1744,buen,0
1745,“andoni_agk david_bust jajaj extrañabacoñ diantre”jajaj,0
1746,aarbelo vam espartanos-,0
1750,andaluc cierr año person par {link} via elmund,1
1751,alemani present cifr mas baj desemple ultim años,0
1752,libr electron abre huec españ {link} via elmund,0
1753,javierarenas_pp dic socied acept impuest hart mentir {link},1
1754,ayunt abre centr ciudadan haz carpinter #ciudadjardin {link} via opiniondemalag,0
1755,medic dej comun valencian {link},1
1757,buen dias hac dia precios,0
1758,segurisim mand millon abraz rt fanclubm alejandrosanz feliz miercol cont {link},0
1759,buen resfri coruñ bell inclus gris rt partis cont {link},0
1760,sub irpf rajoy vulner doctrin constitucional {link} via el_pais,1
1761,ahor entiend tuit carmechacon hac dias olul {link},0
1762,autor mir com brill suel lleg van desnuc tos mejor aeropuert españ especial malag,1
1763,aqu esper viaj suel ten retras casi siempr hombr esper aunqu merec pen esper,1
1764,pesam famili amig enriqu melchor gran guitarr pierd flamenc,1
1765,juanmoscosodelp trabaj delant recog ide quier part ahor van propuest,0
1766,sust muert podr herenci pso - dos palabr {link} via elconfidencial,1
1767,compañers explic 'publico' necesari latul pflis javisal haciendoelpin eduardomuriel #porquepublicohacefalt,0
1768,reflexion mediod hil email sab imperi desmoron empiez utiliz tecnic mafi medi pel,1
1771,h particip tertuli ventan la_s escuch radi gratis pued ser interes,0
1772,pued falt estant madrid #epic gestion gonzalococ - {link} #historiareal,0
1773,buenisim rt absolutex ragalit mejor obras arte urban {link},0
1774,pid regal rey podriais ped emisor radi pong disc #positivegeneration verd necesit,0
1775,much graci rt ladianz alejandrosanz #positivegeneration si doy regal rey,0
1777,juanraluc sguein chusbell pperezf respet veteran grad cuid fri q catarr edad peligr,0
1778,ole paraguay graci rt tamaitagost alejandrosanz obvi pid full paraguay,0
